date,corr_30_BTC_NASDAQ,corr_30_BTC_GOLD,corr_30_BTC_DXY,corr_90_BTC_NASDAQ,corr_90_BTC_GOLD,corr_90_BTC_DXY,realized_vol_20,btc_momentum_20,dxy_change_20,real_yield_change_20,fng_level,fng_change_14,regime_RISK_ASSET,regime_HARD_ASSET,regime_IDIOSYNCRATIC,regime_MIXED,current_regime_label,target_regime_label
2018-07-31,-0.05404649012428396,-0.3003976636389688,0.06197980378831741,-0.12139342036338509,-0.15877913377794817,0.05967382420775482,0.6374635964008073,0.16239702856593907,-0.3800048828125284,0.10999999999999999,48.0,19.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-01,-0.06381684282532578,-0.2702039897417062,0.05351737346789765,-0.11513203819804176,-0.17000377274049516,0.06667708806111747,0.6409944183547976,0.15507640938584927,0.03000640869142046,0.16000000000000003,39.0,6.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-02,-0.07282539669806991,-0.2634868107400557,0.03641300391041839,-0.05991748951589852,-0.14835513898998148,0.03449184741022011,0.6422467668670495,0.13083403990521195,0.6999969482422017,0.15000000000000002,39.0,10.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-03,-0.08386385462152639,-0.2749225007515826,0.033560489268739814,-0.10497079392791916,-0.16448771634008122,0.047161171516368235,0.6477129984190402,0.10797209061960045,1.0999984741210938,0.13,36.0,0.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-06,-0.15552044258131234,-0.1848284441932524,-0.09431329864585418,-0.10858575386039337,-0.14332009127042714,0.030221038004032853,0.6940723777637978,0.030681055614886238,1.2799987792968892,0.09999999999999998,25.0,-14.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-07,-0.1261890385485569,-0.19470488626726842,-0.06529508786083658,-0.06875894755542647,-0.1443247374705595,0.03890764656962685,0.6635000886712943,0.06471226958193398,1.1100006103515625,0.10999999999999999,25.0,-17.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-08,-0.10855281632519581,-0.24669213332025755,-0.014941034545508042,-0.08001718569986487,-0.15332974763850932,0.046857130479971414,0.707547979122921,-0.014001266145678773,0.37999725341796875,0.10999999999999999,23.0,-21.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-09,-0.10552344949778135,-0.2422964287391241,0.009219926314495686,-0.09683916044046978,-0.13805260857889262,0.05426749812051089,0.7149940513153878,0.05305907410847967,0.6900024414062358,0.06999999999999995,19.0,-28.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-10,-0.021347683789477774,-0.25731801071182914,-0.09661983308649212,-0.04838607553162485,-0.13170436704413666,0.007013716418179605,0.7473450957424815,-0.008587491435324723,1.6100006103515625,0.06000000000000005,21.0,-23.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-13,-0.02587215401490738,-0.3067005469465975,-0.008703546129668928,-0.049945547327895044,-0.1415374370199072,0.007554193595218747,0.6955496860510434,-0.06815571834714951,1.8799972534179545,0.030000000000000027,21.0,-28.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-14,-0.07808074881393251,-0.25481809544287526,-0.047674596741441894,-0.07587517617290536,-0.1365645264408663,-0.00466898597017781,0.6219119782263083,-0.16624988925683779,1.7600021362304688,0.030000000000000027,16.0,-38.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-15,-0.1151279043642687,-0.26461565390178277,-0.06300481888449999,-0.0856916230087886,-0.14982633990079242,-8.156181997731817e-05,0.6262316038085097,-0.1556224021147857,1.6199951171875284,-0.010000000000000009,18.0,-35.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-16,-0.13637547788630605,-0.28277540218044134,-0.05624507010745759,-0.09479798013189052,-0.15206558825199623,0.002303988239388791,0.6232927650905824,-0.16442735498617497,1.4800033569335795,0.040000000000000036,21.0,-26.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-17,-0.14776390677779078,-0.20303587448384425,-0.10618791699160056,-0.09119732861354117,-0.13929515619103694,-0.015625184908444036,0.6427320375244043,-0.11113157661545656,1.6399993896484375,0.010000000000000009,19.0,-34.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-20,-0.16089927459826592,-0.24045838314434892,-0.07680086836968532,-0.13672923363774217,-0.0935544923752078,-0.01968268360090832,0.6242213241552742,-0.20075947654730408,1.2300033569335795,-0.09999999999999998,26.0,-22.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-21,-0.1491567979709093,-0.2279052513317473,-0.12285119032509749,-0.13163357563481762,-0.08852370718309087,-0.036791089267061886,0.5324711118165644,-0.26104535679045116,0.6500015258789205,-0.06999999999999995,19.0,-20.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-22,-0.14990615191701745,-0.23161068322013334,-0.13657298642708704,-0.13844909852315815,-0.09464273890275222,-0.02631288284716676,0.5294995528998659,-0.24920979529592324,0.7900009155273438,-0.07000000000000006,21.0,-18.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-23,-0.12042932857640747,-0.23361798362686914,-0.10327325859693923,-0.13352618501401586,-0.10267195818401673,-0.016792236207705022,0.5409035327021339,-0.19621669457070776,0.8700027465820455,-0.14,18.0,-18.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-24,-0.09099221475827866,-0.14652711080626737,-0.1283725349195298,-0.1257444167662294,-0.07273667268246796,-0.030811305702794604,0.5421434839952508,-0.19477572613313457,0.470001220703125,-0.10999999999999999,19.0,-6.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
